年度,屆別,獎項名稱,入圍作品,入圍單位/者,報名單位
85,7,最佳編曲人獎,燈,周志華,索引有聲出版有限公司
85,7,最佳編曲人獎,療傷,鮑比達,科藝百代股份有限公司
85,7,最佳編曲人獎,歡聚歌,王繼康,台灣滾石唱片股份有限公司
85,7,最佳錄音獎,〔無法度按捺〕,豐華唱片股份有限公司,豐華唱片股份有限公司
85,7,最佳錄音獎,〔天空〕,福茂唱片音樂股份有限公司,福茂唱片音樂股份有限公司
85,7,最佳錄音獎,〔鴿子與海〕,東達唱片股份有限公司,東達唱片股份有限公司
85,7,最佳錄音獎,〔笨惰仙〕,東達唱片股份有限公司,東達唱片股份有限公司
85,7,最佳錄音獎,〔燈〕,索引有聲出版有限公司,索引有聲出版有限公司
85,7,最佳演唱組獎,〔心疼〕,大小百合（李靜、周月綺）,真善美聲視有限公司
85,7,最佳演唱組獎,〔秋意上心頭〕,南方二重唱（閻宗玉、林明樺）,瑞星唱片有限公司
85,7,新人獎,〔眼淚〕,范曉萱,福茂唱片音樂股份有限公司
85,7,新人獎,〔還記得我嗎〕,張克帆,波麗佳音股份有限公司
85,7,新人獎,〔好想好好〕,蔣佩芳（李度）,台灣滾石唱片股份有限公司
85,7,新人獎,〔真心變無心〕,劉惠玉（劉依純）,台灣滾石唱片股份有限公司
85,7,最佳演奏專輯獎,〔竊竊私語〕,巨石音樂有限公司,巨石音樂有限公司
85,7,最佳演奏專輯獎,〔心的天空〕,福茂唱片音樂股份有限公司,福茂唱片音樂股份有限公司
85,7,最佳演奏專輯獎,〔我和春天有個約會〕,上華國際企業股份有限公司,上華國際企業股份有限公司
85,7,最佳演奏專輯獎,〔紅玫瑰與白玫瑰〕,台灣滾石唱片股份有限公司,台灣滾石唱片股份有限公司
85,7,最佳演奏專輯獎,〔追夢〕,台灣滾石唱片股份有限公司,台灣滾石唱片股份有限公司
85,7,最佳演奏專輯製作人獎,〔竊竊私語〕,鄭柏秋,巨石音樂有限公司
85,7,最佳演奏專輯製作人獎,〔心的天空〕,林隆璇,福茂唱片音樂股份有限公司
85,7,最佳演奏專輯製作人獎,〔台灣愛情故事〕,翁清溪,金瓜石音樂股份有限公司
85,7,最佳演奏專輯製作人獎,〔我和春天有個約會〕,蔡興國,上華國際企業股份有限公司
85,7,最佳演奏專輯製作人獎,〔紅玫瑰與白玫瑰〕,陳煥昌（小蟲）,台灣滾石唱片股份有限公司
85,7,最佳年度歌曲獎,蝴蝶夢飛,吉馬唱片錄音帶有限公司,吉馬唱片錄音帶有限公司
85,7,最佳年度歌曲獎,還是朋友,飛碟企業股份有限公司,飛碟企業股份有限公司
85,7,最佳年度歌曲獎,空笑夢,藍與白唱片有限公司,藍與白唱片有限公司
85,7,最佳年度歌曲獎,真永遠,台灣藝能動音有限公司,台灣藝能動音有限公司
85,7,最佳年度歌曲獎,感謝,波麗佳音股份有限公司,波麗佳音股份有限公司
85,7,最佳年度歌曲獎,爸爸,東達唱片股份有限公司,東達唱片股份有限公司
85,7,最佳年度歌曲獎,世間,金瓜石音樂股份有限公司,金瓜石音樂股份有限公司
85,7,最佳年度歌曲獎,點亮霓虹燈,點將股份有限公司,點將股份有限公司
85,7,最佳年度歌曲獎,領悟,台灣滾石唱片股份有限公司,台灣滾石唱片股份有限公司
85,7,最佳年度歌曲獎,玫瑰香,台灣滾石唱片股份有限公司,台灣滾石唱片股份有限公司
85,7,最佳單曲歌唱錄影帶影片獎,真永遠,台灣藝能動音有限公司,台灣藝能動音有限公司
85,7,最佳單曲歌唱錄影帶影片獎,痛並快樂著,東方唱片企業有限公司,東方唱片企業有限公司
85,7,最佳單曲歌唱錄影帶影片獎,人在雨中,寶麗金唱片股份有限公司,寶麗金唱片股份有限公司
85,7,最佳單曲歌唱錄影帶影片獎,看未來有什麼不一樣,點將股份有限公司,點將股份有限公司
85,7,最佳單曲歌唱錄影帶影片獎,當初應該愛你,台灣滾石唱片股份有限公司,台灣滾石唱片股份有限公司
85,7,最佳國語歌曲男演唱人獎,〔寬容〕,張信哲,科藝百代股份有限公司
85,7,最佳國語歌曲男演唱人獎,〔晚安曲〕,費玉清,飛碟企業股份有限公司
85,7,最佳國語歌曲男演唱人獎,〔愛與愁〕,伍思凱,點將股份有限公司
85,7,最佳國語歌曲男演唱人獎,〔心痛的感覺〕,林志炫,點將股份有限公司
85,7,最佳國語歌曲男演唱人獎,〔當初應該愛你〕,趙傳,台灣滾石唱片股份有限公司
85,7,最佳國語歌曲女演唱人獎,〔天空〕,王菲（王靖雯）,福茂唱片音樂股份有限公司
85,7,最佳國語歌曲女演唱人獎,〔真心〕,葉蒨文,波麗佳音股份有限公司
85,7,最佳國語歌曲女演唱人獎,〔點亮霓虹燈〕,蔡琴,點將股份有限公司
85,7,最佳國語歌曲女演唱人獎,〔大雨的夜裡〕,張清芳,點將股份有限公司
85,7,最佳國語歌曲女演唱人獎,〔生生世世〕,陳淑樺,台灣滾石唱片股份有限公司
