年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演/錄音團隊
110,32,演唱類個人獎,最佳作曲人獎,我這個人《我這個人》,艾怡良,百代唱片股份有限公司,艾怡良
110,32,演唱類個人獎,最佳作詞人獎,阿峰今天沒有來《給你們 Dear All》,黃婷,何樂音樂有限公司,萬芳
110,32,演唱類個人獎,最佳作詞人獎,伯父《Outta Body靈魂出竅》,陳昱榕（瘦子E.SO）,滾石國際音樂股份有限公司,瘦子E.SO
110,32,演唱類個人獎,最佳作詞人獎,罔市只能回味《自本》,武雄,滾石國際音樂股份有限公司,曹雅雯
110,32,演唱類個人獎,最佳作詞人獎,倖存者《《倖存者 • 如你》雙EP》,小寒,華納國際音樂股份有限公司,林俊傑
110,32,演唱類個人獎,最佳作詞人獎,無人知曉《無人知曉》,葛大為,何樂音樂有限公司,田馥甄
110,32,演唱類個人獎,最佳作詞人獎,蜘蛛《家常音樂》,杜振熙,任性的人工作室,杜振熙
110,32,演唱類個人獎,最佳編曲人獎,好風景 Dazzled《給你們 Dear All》,黃少雍,何樂音樂有限公司,萬芳
110,32,演唱類個人獎,最佳編曲人獎,鹹汫《自本》,鍾興民,滾石國際音樂股份有限公司,曹雅雯
110,32,演唱類個人獎,最佳編曲人獎,戀物癖《眼淚博物館》,蔡侑良,洗耳恭聽股份有限公司,鄭興
110,32,演唱類個人獎,最佳編曲人獎,你是不是誤會什麼 （Miss understanding）《你是不是誤會什麼（Miss understanding）》,YELLOW黃宣,愛貝克思股份有限公司,呂薔Amuyi
110,32,演唱類個人獎,最佳編曲人獎,Last Animals《Last Animals》,嘟嘟,愛貝克思股份有限公司,JADE
110,32,演唱類個人獎,最佳編曲人獎,敬啟者《敬啟者》,大象體操,合作藝文有限公司,大象體操
110,32,演唱類個人獎,最佳專輯製作人獎,給你們 Dear All,黃韻玲,何樂音樂有限公司,萬芳
110,32,演唱類個人獎,最佳專輯製作人獎,自本,張三、曹雅雯,滾石國際音樂股份有限公司,曹雅雯
110,32,演唱類個人獎,最佳專輯製作人獎,出沒地帶 (Where Is SHI?),米奇林 MCKY、剃刀蔣 RAZOR、孫盛希 Shi Shi,滾石國際音樂股份有限公司,孫盛希 Shi Shi
110,32,演唱類個人獎,最佳專輯製作人獎,無人知曉,陳建騏,何樂音樂有限公司,田馥甄
110,32,演唱類個人獎,最佳專輯製作人獎,得力量 pulu’em,曾仁義、洪子龍、 桑布伊,卡達德邦文化工作室,桑布伊
110,32,演唱類個人獎,最佳專輯製作人獎,十日彈,李泉、嚴俊,台灣索尼音樂娛樂股份有限公司,李泉
110,32,演唱類個人獎,最佳單曲製作人獎,爛天氣《絕類 UNIQUE》,李欣芸,星娛音樂有限公司,光良
110,32,演唱類個人獎,最佳單曲製作人獎,Mojito《Mojito》,周杰倫,杰威爾音樂有限公司,周杰倫
110,32,演唱類個人獎,最佳單曲製作人獎,怪天氣《怪天氣》,YELLOW黃宣、余佳倫,否極泰來音樂股份有限公司,YELLOW黃宣、9m88
110,32,演唱類個人獎,最佳單曲製作人獎,麵麵《宅這》,方大同,香港商賦音樂有限公司,方大同
110,32,演唱類個人獎,最佳單曲製作人獎,刻在我心底的名字《刻在我心底的名字》,黃雨勳,添翼創越工作室,盧廣仲
110,32,演唱類個人獎,最佳單曲製作人獎,自洽《自洽》,荒井十一,台灣索尼音樂娛樂股份有限公司,莫文蔚、郭一凡
110,32,演唱類個人獎,最佳華語男歌手獎,Outta Body靈魂出竅,瘦子E.SO,滾石國際音樂股份有限公司,瘦子E.SO
110,32,演唱類個人獎,最佳華語男歌手獎,《倖存者 • 如你》雙EP,林俊傑,華納國際音樂股份有限公司,林俊傑
110,32,演唱類個人獎,最佳華語男歌手獎,冊葉一：一與一,吳青峰,環球國際唱片股份有限公司,吳青峰
110,32,演唱類個人獎,最佳華語男歌手獎,家常音樂,杜振熙,任性的人工作室,杜振熙
110,32,演唱類個人獎,最佳華語男歌手獎,Sounds of My Life,韋禮安,台灣索尼音樂娛樂股份有限公司,韋禮安
110,32,演唱類個人獎,最佳華語男歌手獎,十日彈,李泉,台灣索尼音樂娛樂股份有限公司,李泉
110,32,演唱類個人獎,最佳華語女歌手獎,給你們 Dear All,萬芳,何樂音樂有限公司,萬芳
110,32,演唱類個人獎,最佳華語女歌手獎,愛，不到,巴奈,子皿有限公司,巴奈
110,32,演唱類個人獎,最佳華語女歌手獎,出沒地帶 (Where Is SHI?),孫盛希 Shi Shi,滾石國際音樂股份有限公司,孫盛希 Shi Shi
110,32,演唱類個人獎,最佳華語女歌手獎,面面,蘇慧倫,相信音樂國際股份有限公司,蘇慧倫
110,32,演唱類個人獎,最佳華語女歌手獎,無人知曉,田馥甄,何樂音樂有限公司,田馥甄
110,32,演唱類個人獎,最佳華語女歌手獎,3811,譚維維,海蝶音樂股份有限公司,譚維維
110,32,演唱類個人獎,最佳台語男歌手獎,拾歌,許富凱,何樂音樂有限公司,許富凱
110,32,演唱類個人獎,最佳台語男歌手獎,噶瑪蘭的風吹,楊肅浩,典選音樂事業股份有限公司,楊肅浩
110,32,演唱類個人獎,最佳台語男歌手獎,伍佰&China Blue透南風演唱會影音全紀錄,伍佰,環球國際唱片股份有限公司,伍佰
110,32,演唱類個人獎,最佳台語男歌手獎,共你惜惜,浩子,時代創藝企業有限公司,浩子
110,32,演唱類個人獎,最佳台語男歌手獎,等待好天,荒山亮,動脈音樂文化傳播有限公司,荒山亮
110,32,演唱類個人獎,最佳台語女歌手獎,夢見蘇西,朱海君,豪聲唱片有限公司,朱海君
110,32,演唱類個人獎,最佳台語女歌手獎,自本,曹雅雯,滾石國際音樂股份有限公司,曹雅雯
110,32,演唱類個人獎,最佳台語女歌手獎,若是你 想欲了解我,蔡家蓁,時代創藝企業有限公司,蔡家蓁
110,32,演唱類個人獎,最佳台語女歌手獎,色違,黃妃,米樂士娛樂股份有限公司,黃妃
110,32,演唱類個人獎,最佳台語女歌手獎,上半場,張涵雅,好痛音樂事業有限公司,張涵雅
110,32,演唱類個人獎,最佳客語歌手獎,O nga O nga,曾仲瑋,花聲藝術文化股份有限公司,曾仲瑋
110,32,演唱類個人獎,最佳客語歌手獎,那三年,謝宇威,威德文化有限公司,謝宇威
110,32,演唱類個人獎,最佳客語歌手獎,出門看看,黃珮舒,三川娛樂有限公司,黃珮舒
110,32,演唱類個人獎,最佳客語歌手獎,到底,春麵樂隊,三十而立有限公司,春麵樂隊
110,32,演唱類個人獎,最佳客語歌手獎,當太陽升起時,羅文裕,夢?當然音樂股份有限公司,羅文裕
110,32,演唱類個人獎,最佳原住民語歌手獎,達卡鬧 / 流浪的Naluwan,達卡鬧,好的創藝工作室,達卡鬧
110,32,演唱類個人獎,最佳原住民語歌手獎,得力量 pulu’em,桑布伊,卡達德邦文化工作室,桑布伊
110,32,演唱類個人獎,最佳原住民語歌手獎,散步到地平線,Lowking姚宇謙,好痛音樂事業有限公司,Lowking
110,32,演唱類個人獎,最佳原住民語歌手獎,早安 mziboq su,馬曉安,動靜音樂製作股份有限公司,馬曉安
110,32,演唱類個人獎,最佳原住民語歌手獎,《žž》,žž瑋琪,那屋瓦文化有限公司,žž瑋琪
110,32,演唱類個人獎,最佳樂團獎,黑的韌性 Black & Toughness,OVDS:楊孝君、Kalis、KITrust、HANN、S.D、YShin,滾石國際音樂股份有限公司,OVDS
110,32,演唱類個人獎,最佳樂團獎,野蓮出庄 Water Snowflake Goes to Market,生祥樂隊:林生祥、鍾永豐、大竹研、早川徹、福島紀明、吳政君、黃博裕,山下民謠有限公司,生祥樂隊
110,32,演唱類個人獎,最佳樂團獎,更迭,康士坦的變化球:吳穎然、 陳佑祥、 張譯云、 侯啟泰、 趙祖毅,聲音的卡夫卡股份有限公司,康士坦的變化球
110,32,演唱類個人獎,最佳樂團獎,"運氣來得若有似無【Easy Come, Easy Go】",告五人:潘雲安；犬青；林哲謙,相信音樂國際股份有限公司,告五人 Accusefive
110,32,演唱類個人獎,最佳樂團獎,SOFT STORM 柔性風暴,落日飛車 Sunset Rollercoaster:曾國宏 Tseng Kuo Hung、陳弘禮 Chen Hung Li、羅尊龍 Lo Tsun Lung、王少軒 Wang Shao Hsuan、黃浩庭 Huang Hao Ting,夕陽音樂產業有限公司,落日飛車 Sunset Rollercoaster
110,32,演唱類個人獎,最佳樂團獎,海女 Lady of the ocean,漂流出口:Wushang Pihay、Putad Sapoh Pihay、Lin Ken,共勉之企業號有限公司,漂流出口
110,32,演唱類個人獎,最佳樂團獎,鳥鳥鳥 Bird and Reflections,deca joins:鄭敬儒、楊尚樺、謝俊彥、陸浩釗,滾石國際音樂股份有限公司,deca joins
110,32,演唱類個人獎,最佳演唱組合獎,使者,守夜人 Night Keepers:秦旭章、楊其偉、林稚翎、蔡佳穎,何樂音樂有限公司,守夜人 Night Keepers
110,32,演唱類個人獎,最佳演唱組合獎,追風少女迷你專輯 -玖貳玖,追風少女FALI:鄧棋薰Yuli、林欣雲Kasang、林青雲Eng'mo,典選音樂事業股份有限公司,追風少女FALI
110,32,演唱類個人獎,最佳演唱組合獎,Seen it all?,張三李四:張三、吳迪、彭柏邑、楊顯斌、楊曼寧,滾石國際音樂股份有限公司,張三李四
110,32,演唱類個人獎,最佳演唱組合獎,樂遊原,原子邦妮 Astro Bunny:Nu、查查,滾石國際音樂股份有限公司,原子邦妮 Astro Bunny
110,32,演唱類個人獎,最佳演唱組合獎,Dear Adult,尋人啟事:錢沛筠、錢姵文、呂佳諭、陳信迪、顏立東,尋人啟事樂團工作室,尋人啟事
110,32,演唱類個人獎,最佳新人獎,浮世擊,YELLOW,否極泰來音樂股份有限公司,YELLOW
110,32,演唱類個人獎,最佳新人獎,豆皮少年,熱寫生,自由播種工作室,熱寫生
110,32,演唱類個人獎,最佳新人獎,Diamond In The Rough,李浩瑋 Howard Lee,滾石國際音樂股份有限公司,李浩瑋 Howard Lee
110,32,演唱類個人獎,最佳新人獎,有你的故事,青虫 aoi,洗耳恭聽股份有限公司,青虫 aoi
110,32,演唱類個人獎,最佳新人獎,愚者,理想混蛋,何樂音樂有限公司,理想混蛋
110,32,演唱類個人獎,最佳新人獎,如果你也愛我就好了,李友廷,華研國際音樂股份有限公司,李友廷
110,32,演唱類個人獎,最佳新人獎,A Bedroom of One?s Own,?te,華風數位股份有限公司,?te
110,32,演奏類出版獎,演奏類最佳專輯獎,行,好有感覺音樂事業有限公司,好有感覺音樂事業有限公司,魯千千
110,32,演奏類出版獎,演奏類最佳專輯獎,KUNG’s vol.1,環球國際唱片股份有限公司,環球國際唱片股份有限公司,龔鈺祺
110,32,演奏類出版獎,演奏類最佳專輯獎,流光傳奇,山下民謠有限公司,山下民謠有限公司,异境樂團
110,32,演奏類出版獎,演奏類最佳專輯獎,機械步伐,環球國際唱片股份有限公司,環球國際唱片股份有限公司,TTechmak
110,32,演奏類出版獎,演奏類最佳專輯獎,派仔之遊,環球國際唱片股份有限公司,環球國際唱片股份有限公司,五香放克樂團
110,32,演奏類個人獎,演奏類最佳專輯製作人獎,流光傳奇,吳政君,山下民謠有限公司,异境樂團
110,32,演奏類個人獎,演奏類最佳專輯製作人獎,Don’t Get Too Comfortable不要過太爽,傅麥特,亞神音樂娛樂股份有限公司,傅麥特
110,32,演奏類個人獎,演奏類最佳專輯製作人獎,《刻在你心底的名字》電影配樂原聲帶,侯志堅,天空之城音樂製作有限公司,侯志堅、陳主惠、魏廣晧
110,32,演奏類個人獎,演奏類最佳專輯製作人獎,派仔之遊,謝燕輝,張德銘,環球國際唱片股份有限公司
110,32,演奏類個人獎,演奏類最佳專輯製作人獎,noista/gia 噪噪噪噪切,hirsk,派樂黛唱片有限公司,hirsk
110,32,演奏類個人獎,演奏類最佳作曲人獎,行《行》,魯千千,好有感覺音樂事業有限公司,魯千千
110,32,演奏類個人獎,演奏類最佳作曲人獎,清晰《清晰》,顧忠山,環球國際唱片股份有限公司,顧忠山三重奏
110,32,演奏類個人獎,演奏類最佳作曲人獎,機械步伐《機械步伐》,托比·麥,環球國際唱片股份有限公司,TTechmak
110,32,演奏類個人獎,演奏類最佳作曲人獎,苦樂《派仔之遊》,謝燕輝、張德銘,環球國際唱片股份有限公司,五香放克樂團
110,32,演奏類個人獎,演奏類最佳作曲人獎,大理人家《派仔之遊》,謝燕輝、張德銘,環球國際唱片股份有限公司,五香放克樂團
110,32,技術類個人獎,最佳裝幀設計獎,愛，不到,子皿有限公司,子皿有限公司,楊士慶
110,32,技術類個人獎,最佳裝幀設計獎,野蓮出庄 Water Snowflake Goes to Market,山下民謠有限公司,山下民謠有限公司,羅文岑、林純用、李根政
110,32,技術類個人獎,最佳裝幀設計獎,無人知曉,何樂音樂有限公司,何樂音樂有限公司,劉悅德
110,32,技術類個人獎,最佳裝幀設計獎,ZETA,凡音文化有限公司,凡音文化有限公司,蕭青陽
110,32,技術類個人獎,最佳裝幀設計獎,得力量 pulu’em,卡達德邦文化工作室,卡達德邦文化工作室,陳世川
110,32,技術類個人獎,最佳裝幀設計獎,摩登原始人,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,聶永真、陳聖智
110,32,技術類出版獎,最佳演唱錄音專輯獎,出沒地帶 (Where Is SHI?),滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,主要錄音人員：陳文駿、陳振發、蔡周翰、劉阿洛、謝豐澤、鍾濰宇、陳祺龍、楊敏奇／主要混音人員：陳文駿、蔡周翰、單為明、魏瑋、周已敦、樊乃綱／主要母帶後製人員：Dave kutch
110,32,技術類出版獎,最佳演唱錄音專輯獎,畫話 Drawing Dialogue,洗耳恭聽股份有限公司,洗耳恭聽股份有限公司,主要錄音人員：笛岡俊哉 AKNIT、Andy Baker、鍾承洋、蔡周翰、單為明、Koffkoff、馬丁、劉哲麟、劉詩偉／主要混音人員：笛岡俊哉 AKNIT、黃文萱、劉詩偉／主要母帶後製人員：笛岡俊哉 AKNIT、柯泯薰
110,32,技術類出版獎,最佳演唱錄音專輯獎,"運氣來得若有似無【Easy Come, Easy Go】",相信音樂國際股份有限公司,相信音樂國際股份有限公司,主要錄音人員：葉育軒、蔡周翰、楊敏奇、錢煒安、沈冠霖／主要混音人員：黃文萱／主要母帶後製人員：Randy Merrill
110,32,技術類出版獎,最佳演唱錄音專輯獎,得力量 pulu’em,卡達德邦文化工作室,卡達德邦文化工作室,主要錄音人員：鄭皓文 (專輯主要錄音)、王家棟 (專輯弦樂錄音)／主要混音人員：王俊傑、林正忠、黃俊憲、鄭皓文／主要母帶後製人員：Ted Jensen
110,32,技術類出版獎,最佳演唱錄音專輯獎,PORTAL,沐旦音樂工作室,沐旦音樂工作室,主要錄音人員：鄭皓文 (專輯主要錄音)、王家棟 (專輯弦樂錄音)／主要混音人員：王俊傑、林正忠、黃俊憲、鄭皓文／主要母帶後製人員：Ted Jensen
110,32,技術類出版獎,最佳演奏錄音專輯獎,無盡的旅程,好有感覺音樂事業有限公司,好有感覺音樂事業有限公司,主要錄音人員：Clark Germain、Chris Bitoun、Vladimir Martinka／主要混音人員：Clark Germain／主要母帶後製人員：Chris Bellman
110,32,技術類出版獎,最佳演奏錄音專輯獎,Fly By Light,山下民謠有限公司,山下民謠有限公司,主要錄音人員：錢煒安／主要混音人員：錢煒安／主要母帶後製人員：錢煒安
110,32,技術類出版獎,最佳演奏錄音專輯獎,行,好有感覺音樂事業有限公司,好有感覺音樂事業有限公司,主要錄音人員：艾力克斯・康瑞／主要混音人員：大衛・達爾靈頓／主要母帶後製人員：大衛・達爾靈頓
110,32,技術類出版獎,最佳演奏錄音專輯獎,清晰,環球國際唱片股份有限公司,環球國際唱片股份有限公司,主要錄音人員：曾澤源、Damien Banzigou／主要混音人員：Damien Banzigou／主要母帶後製人員：Damien Banzigou
110,32,技術類出版獎,最佳演奏錄音專輯獎,派仔之遊,環球國際唱片股份有限公司,環球國際唱片股份有限公司,主要錄音人員：劉芒／主要混音人員：單為明
110,32,特別貢獻獎,特別貢獻獎,,羅大佑,,
