年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演
92,14,傳統暨藝術音樂作品類-個人獎,最佳專輯製作人獎,同路人（詩說情．愛）,史擷詠,普飛數位錄音有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳專輯製作人獎,VuVu的故事,彭靖,風潮有聲出版有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳演唱獎,奇妙的和諧─著名男高音歌劇詠嘆調,宋茂生,雅砌音樂有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳演唱獎,給我的父親－郭英男,蔣進興,高動力唱片有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳演唱獎,展翅,陽光小雨二重唱,展翅音樂有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳演唱獎,朝山梵唄,啞行,梵音文化事業公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳演唱獎,世紀歸零－現代台灣合唱經典,台北愛樂室內合唱團,財團法人台北愛樂文教基金會,
92,14,傳統暨藝術音樂作品類-個人獎,最佳演奏獎,旅情札記,黃渼娟,家威影音實業有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳演奏獎,聆聽德林傑鋼琴獨奏專輯（一）,德林傑,家威影音實業有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳演奏獎,世界在我的窗外,溫金龍,華特國際音樂股份有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳演奏獎,多媒體音樂劇場原聲帶藍色馬賽克,解瑄,硬底子音樂網有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳演奏獎,知心樂坊,熊育馨、金玉君、許鶴齡,知心樂坊,
92,14,傳統暨藝術音樂作品類-個人獎,特別貢獻獎,,從缺,,
